variant,top1_accuracy,top5_accuracy,top10_accuracy,mean_reciprocal_rank,mean_top1_tanimoto,molecular_formula_accuracy,n_queries,weight_our_spectrum_score,weight_cfmid_spectrum_score,weight_fragment_formula_score,weight_sirius_formula_score,weight_reaction_prior_score
full_current_primary_no_sirius,0.328125,0.71875,0.828125,0.502844039959644,,,64,0.35,0.5,0.15,,
full_five_component_validation_selected,0.3125,0.703125,0.78125,0.4676917976757649,,,64,0.3,0.55,0.05,0.1,0.0
only_our_spectrum_score,0.03125,0.328125,0.453125,0.1668739143762869,,,64,1.0,,,,
only_cfmid_spectrum_score,0.328125,0.65625,0.75,0.46612686869088077,,,64,,1.0,,,
only_fragment_formula_score,0.0625,0.21875,0.28125,0.14850110864490218,,,64,,,1.0,,
only_sirius_formula_score,0.0,0.0,0.0,0.019027157243743736,,,64,,,,1.0,
only_reaction_prior_score,0.0,0.0,0.0,0.023242924063504297,,,64,,,,,1.0
without_our_spectrum_score,0.34375,0.609375,0.65625,0.44946933319391225,,,64,,0.786,0.071,0.143,
without_cfmid_spectrum_score,0.015625,0.375,0.40625,0.15897131831100939,,,64,0.667,,0.111,0.222,
without_fragment_formula_score,0.3125,0.6875,0.734375,0.4650339795022493,,,64,0.316,0.579,,0.105,
without_sirius_formula_score,0.328125,0.71875,0.828125,0.502844039959644,,,64,0.35,0.5,0.15,,
without_reaction_prior_score,0.3125,0.703125,0.78125,0.4676917976757649,,,64,0.3,0.55,0.05,0.1,
