case_id,query_id,compound_name,mz,intensity,relative_intensity,assigned_fragment_formula,neutral_loss,diagnostic_fragment_label,annotation_source,confidence,notes
case_frag_top1_cfmid_not,LS78fdfd0df801,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid",64.0,1.904762,1.904762,,462.9615,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/14_sirius_f_constraints_input_LS78fdfd0df801ALVYVCQIFHTIRD-UHFFFAOYSA-NM-H-/spectrum.ms,observed_peak,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top1_cfmid_not,LS78fdfd0df801,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid",80.0,100.0,100.0,,446.9615,PFAS sulfonate diagnostic m/z 80 (SO3-related),/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/14_sirius_f_constraints_input_LS78fdfd0df801ALVYVCQIFHTIRD-UHFFFAOYSA-NM-H-/spectrum.ms,diagnostic_mz_rule,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top1_cfmid_not,LS78fdfd0df801,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid",81.0,75.952381,75.952381,,445.9615,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/14_sirius_f_constraints_input_LS78fdfd0df801ALVYVCQIFHTIRD-UHFFFAOYSA-NM-H-/spectrum.ms,observed_peak,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top1_cfmid_not,LS78fdfd0df801,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid",107.0,1.428571,1.428571,,419.9615,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/14_sirius_f_constraints_input_LS78fdfd0df801ALVYVCQIFHTIRD-UHFFFAOYSA-NM-H-/spectrum.ms,observed_peak,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top1_cfmid_not,LS78fdfd0df801,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid",148.0,1.190476,1.190476,,378.9615,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/14_sirius_f_constraints_input_LS78fdfd0df801ALVYVCQIFHTIRD-UHFFFAOYSA-NM-H-/spectrum.ms,observed_peak,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,136.0,6.553911,6.553911,C7HF2N,239.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,160.0,2.924595,2.924595,C9HF2N,215.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,161.0,11.839323,11.839323,C12H2O,214.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,170.0,3.488372,3.488372,C11HF2,205.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,184.0,5.320648,5.320648,C11HF2N,191.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,190.0,10.570825,10.570825,C11H2F3,185.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,210.0,100.0,100.0,C12HF2N2,165.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,211.0,10.500352,10.500352,C13H2F2O,164.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,218.0,3.206483,3.206483,C12H2F3O,157.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,231.0,15.785766,15.785766,C11H2F2N2O2,144.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
case_frag_top5_ms2_blocked,LS05bfa8260f03,Picolinafen,238.0,47.885835,47.885835,C13HF2N2O,137.0762,,/home/zhome/ec_tp_work/ec-transformation-product-model-v1/outputs/pfas_sirius_formula_scores_v1/sirius_project/48_sirius_f_constraints_input_LS05bfa8260f03CWKFPEBMTGKLKX-UHFFFAOYSA-NM-H-/spectra/C19H12F4N2O2_[M-H]-.tsv,sirius_fragment_formula,Observed experimental peak from SIRIUS-imported spectrum.ms; formulas from SIRIUS spectra TSV when available.
