spec_id,query_mol_id,adduct,expected_candidate_rows,observed_rows,complete,output_file
0,1196787,[M+H]+,1241,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_0/cfmid_ranked_0.txt
3,1196790,[M+H]+,8524,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_3/cfmid_ranked_3.txt
4,1196791,[M+H]+,7594,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_4/cfmid_ranked_4.txt
5,1196792,[M+H]+,1074,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_5/cfmid_ranked_5.txt
6,1196793,[M+H]+,1524,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_6/cfmid_ranked_6.txt
7,1196794,[M+H]+,7016,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_7/cfmid_ranked_7.txt
9,1196796,[M+H]+,8632,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_9/cfmid_ranked_9.txt
10,1196797,[M+H]+,2797,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_10/cfmid_ranked_10.txt
11,1196798,[M+H]+,6368,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_11/cfmid_ranked_11.txt
12,1196799,[M+H]+,9462,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_12/cfmid_ranked_12.txt
15,1196802,[M+H]+,4775,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_15/cfmid_ranked_15.txt
16,1196803,[M+H]+,103,0,False,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_full_supported_v1/work/query_16/cfmid_ranked_16.txt
