dataset,spectrum_id,query_id,true compound name if available,true SMILES,true InChIKey,true molecular formula,PFAS class/subclass if available,precursor m/z,ion mode,adduct,number of candidates,FragAnnotor true rank,FragAnnotor top-1 candidate SMILES,FragAnnotor top-1 candidate InChIKey,FragAnnotor top-1 score,FragAnnotor status,FragAnnotor native_or_fallback,CFM-ID true rank,CFM-ID top-1 candidate SMILES,CFM-ID top-1 candidate InChIKey,CFM-ID top-1 score,CFM-ID status,CFM-ID native_or_fallback,SIRIUS true rank,SIRIUS top-1 candidate SMILES,SIRIUS top-1 candidate InChIKey,SIRIUS top-1 score,SIRIUS status,SIRIUS native_or_fallback,MS2DeepScore true rank,MS2DeepScore top-1 candidate SMILES,MS2DeepScore top-1 candidate InChIKey,MS2DeepScore top-1 score,MS2DeepScore status,MS2DeepScore native_or_fallback,top-1 Tanimoto similarity,whether FragAnnotor beats CFM-ID,rank improvement over CFM-ID,whether FragAnnotor beats SIRIUS,rank improvement over SIRIUS,whether FragAnnotor beats MS2DeepScore,rank improvement over MS2DeepScore,failure category if applicable
CASMI2022,0,0,,COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2OC2OC(C)C(OC(C)=O)C(OC3OC(CO)C(O)C(O)C3O)C2O)cc1,CASMI_MOL_1196787,C35H42O16,,719.253866983956,P,[M+H]+,1241,54.0,CC(=O)COC(=O)CCNC(=O)C(N)CSCC1OC(OC2C(CO)OC(OC3C(CO)OCC(O)C3O)C(O)C2O)C(O)C(O)C1O,CASMI_MOL_834,0.20044953870604265,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,,,,,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,0.2184873949579832,False,,False,,False,,missed_top10
CASMI2022,1,1,,CC(C)CC(O)C(=O)NC(C(=O)OC(C(=O)NC(CC(C)C)C(=O)O)C(C)C)C(C)C,CASMI_MOL_1196788,C22H40N2O7,,467.272376926512,P,[M+Na]+,2001,1.0,CC(C)CC(O)C(=O)NC(C(=O)OC(C(=O)NC(CC(C)C)C(=O)O)C(C)C)C(C)C,CASMI_MOL_1196788,0.8490079247826241,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,1.0,CC(C)CC(O)C(=O)NC(C(=O)OC(C(=O)NC(CC(C)C)C(=O)O)C(C)C)C(C)C,CASMI_MOL_1196788,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,1.0,False,,False,0.0,False,,
CASMI2022,10,10,,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,CASMI_MOL_1196797,C21H18F3NO3S2,,454.07482453927,P,[M+H]+,2001,77.0,O=[N+]([O-])c1cc(N=Cc2ccc(C=Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)[nH]2)cc([N+](=O)[O-])c1,CASMI_MOL_46175,0.8472790785046072,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,,O=[N+]([O-])c1cc(N=Cc2ccc(C=Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)[nH]2)cc([N+](=O)[O-])c1,CASMI_MOL_46175,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,0.07792207792207792,False,,False,,False,,missed_top10
CASMI2022,100,100,,CC(O)CCCC=CCC=CC(O)C(O)CCCCCC(=O)O,CASMI_MOL_1196888,C18H32O5,,329.231892370686,P,[M+H]+,2001,1.0,CC(O)CCCC=CCC=CC(O)C(O)CCCCCC(=O)O,CASMI_MOL_1196888,0.8483626509554255,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,1.0,CC(O)CCCC=CCC=CC(O)C(O)CCCCCC(=O)O,CASMI_MOL_1196888,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,1.0,False,,False,0.0,False,,
CASMI2022,101,101,,CCC1(C)C(=O)C=C2C(=COC(C(=O)O)=C2C)C1O,CASMI_MOL_1196890,C14H16O5,,265.106995360766,P,[M+H]+,2001,1.0,CCC1(C)C(=O)C=C2C(=COC(C(=O)O)=C2C)C1O,CASMI_MOL_1196890,0.8786754916343642,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,1.0,CCC1(C)C(=O)C=C2C(=COC(C(=O)O)=C2C)C1O,CASMI_MOL_1196890,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,1.0,False,,False,0.0,False,,
CASMI2022,102,102,,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,CASMI_MOL_1196891,C20H34O8,,403.232045400965,P,[M+H]+,2001,1.0,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,CASMI_MOL_1196891,0.8469573112952411,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,1.0,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,CASMI_MOL_1196891,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,1.0,False,,False,0.0,False,,
CASMI2022,103,103,,CC(=O)OC(C)(C)C1OC23OC1CC(C)C2C1(C)CCC24CC25CCC(OC2OCC(O)C(O)C2O)C(C)(C)C5CCC4C1(C)C3O,CASMI_MOL_1196892,C37H58O10,,685.391173042312,P,[M+Na]+,678,1.0,CC(=O)OC(C)(C)C1OC23OC1CC(C)C2C1(C)CCC24CC25CCC(OC2OCC(O)C(O)C2O)C(C)(C)C5CCC4C1(C)C3O,CASMI_MOL_1196892,0.92291427193688,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,1.0,CC(=O)OC(C)(C)C1OC23OC1CC(C)C2C1(C)CCC24CC25CCC(OC2OCC(O)C(O)C2O)C(C)(C)C5CCC4C1(C)C3O,CASMI_MOL_1196892,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,1.0,False,,False,0.0,False,,
CASMI2022,104,104,,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,CASMI_MOL_1196893,C13H13ClN2O,,249.078750610352,P,[M+H]+,2001,1.0,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,CASMI_MOL_1196893,0.8493797094263493,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,1.0,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,CASMI_MOL_1196893,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,1.0,False,,False,0.0,False,,
CASMI2022,105,105,,COc1c(CC=C(C)CCC=C(C)CCO)c(O)c2c(O)occ2c1C,CASMI_MOL_1196894,C21H28O5,,361.200375071837,P,[M+H]+,2001,1.0,COc1c(CC=C(C)CCC=C(C)CCO)c(O)c2c(O)occ2c1C,CASMI_MOL_1196894,0.8465063267219034,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,1.0,COc1c(CC=C(C)CCC=C(C)CCO)c(O)c2c(O)occ2c1C,CASMI_MOL_1196894,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,1.0,False,,False,0.0,False,,
CASMI2022,106,106,,COC(=O)C(NC(=O)c1cccc(NC=O)c1O)C(C)O,CASMI_MOL_1196895,C13H16N2O6,,297.107910928399,P,[M+H]+,2001,1.0,COC(=O)C(NC(=O)c1cccc(NC=O)c1O)C(C)O,CASMI_MOL_1196895,0.8570900994157148,completed,formal_fixed_component_score_mode,,,,,model_unavailable_native_required,native_runtime_blocked,1.0,COC(=O)C(NC(=O)c1cccc(NC=O)c1O)C(C)O,CASMI_MOL_1196895,1.0,completed,native_sirius,,,,,model_unavailable_native_required,native_unavailable,1.0,False,,False,0.0,False,,
