query_id,adduct,precursor_mz,raw_peak_count,peak_count_ge_1pct,peak_count_ge_3pct,peak_count_ge_1pct_no_precursor,peak_count_top50,peak_count_top20
0,[M+H]+,719.253866983956,60,32,22,32,50,20
1,[M+Na]+,467.272376926512,26,8,3,7,26,20
2,[M+Na]+,499.229625521457,91,91,91,91,50,20
3,[M+H]+,336.173416402974,34,8,5,7,34,20
4,[M+H]+,472.208379934413,122,42,23,42,50,20
5,[M+H]+,657.311672306106,44,44,12,44,44,20
6,[M+H]+,519.33115928565,30,30,30,30,30,20
7,[M+H]+,233.116974574285,21,6,3,5,21,20
8,[M+Na]+,555.276974904429,17,17,17,16,17,17
9,[M+H]+,347.12743382156,91,47,29,47,50,20
10,[M+H]+,454.07482453927,14,14,3,13,14,14
11,[M+H]+,489.226761835099,78,21,12,20,50,20
12,[M+H]+,192.138122780028,33,6,3,6,33,20
13,[M+Na]+,717.380089098989,22,9,4,21,22,20
14,[M+Na]+,545.213786033657,23,23,11,22,23,20
15,[M+H]+,505.221679905913,89,28,13,28,50,20
16,[M+H]+,522.596526377514,12,12,2,11,12,12
17,[M+H]+,251.163916083717,72,16,6,59,50,20
18,[M+H]+,199.096388145119,64,29,15,34,50,20
19,[M+Na]+,217.083237930105,13,13,13,11,13,13
20,[M+Na]+,805.433242169646,21,21,4,20,21,20
21,[M+H]+,419.096457918953,42,22,11,22,42,20
22,[M+H]+,235.09602715843,134,111,81,110,50,20
23,[M+H]+,305.24715503306,131,89,65,88,50,20
24,[M+H]+,251.081286729391,44,9,5,8,44,20
25,[M+H]+,256.190347458289,119,101,73,100,50,20
26,[M+H]+,287.113248407357,41,16,7,16,41,20
27,[M+H]+,564.248474121094,71,16,12,14,50,20
28,[M+Na]+,386.18316740815,24,10,6,18,24,20
29,[M+H]+,442.152698645402,53,53,27,53,50,20
30,[M+Na]+,313.162104668711,10,10,3,9,10,10
31,[M+H]+,268.169176279556,31,8,4,7,31,20
32,[M+Na]+,603.167435039183,15,15,15,15,15,15
33,[M+Na]+,336.10484867596,15,8,4,14,15,15
34,[M+H]+,88.075645446777,18,7,3,14,18,18
35,[M+H]+,812.47884213126,169,46,20,46,50,20
36,[M+Na]+,449.098083496094,17,4,2,15,17,17
37,[M+H]+,335.220961257905,159,112,74,111,50,20
38,[M+H]+,267.158658505007,58,58,58,56,50,20
39,[M+H]+,110.059909596967,31,3,1,20,31,20
40,[M+H]+,457.20099752921,89,26,15,26,50,20
41,[M+H]+,484.216078579256,26,3,2,3,26,20
42,[M+H]+,395.232386610341,85,14,9,14,50,20
43,[M+H]+,333.205381675245,143,136,99,136,50,20
44,[M+Na]+,741.32297090863,24,24,17,23,24,20
45,[M+Na]+,325.234513056476,12,4,3,9,12,12
46,[M+H]+,145.075823480782,33,7,4,11,33,20
47,[M+Na]+,524.280733835452,50,21,9,20,50,20
48,[M+H]+,429.226698960775,24,24,24,24,24,20
49,[M+Na]+,657.396600966236,16,13,5,13,16,16
50,[M+H]+,173.047241210938,38,13,8,34,38,20
51,[M+H]+,739.243161879911,226,105,42,105,50,20
52,[M+Na]+,501.136066103961,21,21,10,20,21,20
53,[M+H]+,98.096313476563,31,9,3,8,31,20
54,[M+H]+,212.081565615679,69,18,11,16,50,20
55,[M+H]+,349.200553291463,82,41,15,41,50,20
56,[M+H]+,267.158989552775,60,60,59,60,50,20
57,[M+Na]+,353.204153669958,23,23,7,22,23,20
58,[M+H]+,127.075180638479,27,7,6,6,27,20
59,[M+H]+,228.231926090935,51,10,5,34,50,20
60,[M+H]+,319.226352058803,127,78,55,78,50,20
61,[M+H]+,485.216505310484,153,123,77,123,50,20
62,[M+Na]+,603.204086075698,19,19,6,18,19,19
63,[M+Na]+,268.070158812618,13,13,3,12,13,13
64,[M+H]+,705.237865088362,32,32,19,32,32,20
65,[M+H]+,249.148315429688,60,52,34,51,50,20
66,[M+Na]+,561.120702014163,21,21,7,20,21,20
67,[M+Na]+,424.172282644071,25,16,10,24,25,20
68,[M+H]+,114.127519082222,22,8,4,6,22,20
69,[M+H]+,282.169477178943,38,38,20,38,38,20
70,[M+H]+,331.189924191026,98,44,23,43,50,20
71,[M+H]+,169.12214356171,54,37,23,36,50,20
72,[M+Na]+,513.235635179633,29,29,14,27,29,20
73,[M+Na]+,279.19292316249,11,11,4,9,11,11
74,[M+H]+,144.138018811886,37,8,5,18,37,20
75,[M+H]+,287.048180621777,33,7,5,7,33,20
76,[M+H]+,305.247069182952,125,94,64,93,50,20
77,[M+H]+,399.237181334685,66,24,10,24,50,20
78,[M+H]+,103.086471920208,19,6,3,5,19,19
79,[M+H]+,330.205834046795,184,66,29,66,50,20
80,[M+H]+,303.122479714061,29,25,15,24,29,20
81,[M+Na]+,695.433174080825,31,7,4,9,31,20
82,[M+H]+,140.106780463631,53,10,6,24,50,20
