gate_policy,top_k_gate,n_queries,true_candidate_retention,queries_losing_true_candidate,mean_gated_candidate_count,median_gated_candidate_count,mean_original_candidate_count,candidate_row_reduction_fraction
fragannotor_formal_component_score,10,229,0.6681222707423581,76,10.0,10.0,1782.7467248908297,0.9943906782380361
fragannotor_formal_component_score,25,229,0.6943231441048034,70,25.0,25.0,1782.7467248908297,0.9859766955950903
fragannotor_formal_component_score,50,229,0.7292576419213974,62,50.0,50.0,1782.7467248908297,0.9719533911901805
fragannotor_formal_component_score,100,229,0.7554585152838428,56,100.0,100.0,1782.7467248908297,0.943906782380361
fragannotor_formal_component_score,200,229,0.777292576419214,51,199.5764192139738,200.0,1782.7467248908297,0.8880511648528226
fragannotor_formal_component_score,500,229,0.8820960698689956,27,491.0087336244541,500.0,1782.7467248908297,0.7245774025166014
fragannotor_formal_component_score,1000,229,0.9475982532751092,12,945.0218340611353,1000.0,1782.7467248908297,0.46990684606698363
fragment_formula_plausibility_score,10,229,0.6593886462882096,78,10.0,10.0,1782.7467248908297,0.9943906782380361
fragment_formula_plausibility_score,25,229,0.6899563318777293,71,25.0,25.0,1782.7467248908297,0.9859766955950903
fragment_formula_plausibility_score,50,229,0.7117903930131004,66,50.0,50.0,1782.7467248908297,0.9719533911901805
fragment_formula_plausibility_score,100,229,0.7292576419213974,62,100.0,100.0,1782.7467248908297,0.943906782380361
fragment_formula_plausibility_score,200,229,0.7685589519650655,53,199.5764192139738,200.0,1782.7467248908297,0.8880511648528226
fragment_formula_plausibility_score,500,229,0.8165938864628821,42,491.0087336244541,500.0,1782.7467248908297,0.7245774025166014
fragment_formula_plausibility_score,1000,229,0.8471615720524017,35,945.0218340611353,1000.0,1782.7467248908297,0.46990684606698363
no_sirius_precursor50_fragment50,10,229,0.48034934497816595,119,10.0,10.0,1782.7467248908297,0.9943906782380361
no_sirius_precursor50_fragment50,25,229,0.5720524017467249,98,25.0,25.0,1782.7467248908297,0.9859766955950903
no_sirius_precursor50_fragment50,50,229,0.6200873362445415,87,50.0,50.0,1782.7467248908297,0.9719533911901805
no_sirius_precursor50_fragment50,100,229,0.7030567685589519,68,100.0,100.0,1782.7467248908297,0.943906782380361
no_sirius_precursor50_fragment50,200,229,0.7467248908296943,58,199.5764192139738,200.0,1782.7467248908297,0.8880511648528226
no_sirius_precursor50_fragment50,500,229,0.8951965065502183,24,491.0087336244541,500.0,1782.7467248908297,0.7245774025166014
no_sirius_precursor50_fragment50,1000,229,0.9475982532751092,12,945.0218340611353,1000.0,1782.7467248908297,0.46990684606698363
no_sirius_precursor80_fragment20,10,229,0.4759825327510917,120,10.0,10.0,1782.7467248908297,0.9943906782380361
no_sirius_precursor80_fragment20,25,229,0.5676855895196506,99,25.0,25.0,1782.7467248908297,0.9859766955950903
no_sirius_precursor80_fragment20,50,229,0.611353711790393,89,50.0,50.0,1782.7467248908297,0.9719533911901805
no_sirius_precursor80_fragment20,100,229,0.6986899563318777,69,100.0,100.0,1782.7467248908297,0.943906782380361
no_sirius_precursor80_fragment20,200,229,0.74235807860262,59,199.5764192139738,200.0,1782.7467248908297,0.8880511648528226
no_sirius_precursor80_fragment20,500,229,0.8951965065502183,24,491.0087336244541,500.0,1782.7467248908297,0.7245774025166014
no_sirius_precursor80_fragment20,1000,229,0.9475982532751092,12,945.0218340611353,1000.0,1782.7467248908297,0.46990684606698363
precursor_mass_consistency_score,10,229,0.4585152838427948,124,10.0,10.0,1782.7467248908297,0.9943906782380361
precursor_mass_consistency_score,25,229,0.5545851528384279,102,25.0,25.0,1782.7467248908297,0.9859766955950903
precursor_mass_consistency_score,50,229,0.6069868995633187,90,50.0,50.0,1782.7467248908297,0.9719533911901805
precursor_mass_consistency_score,100,229,0.6986899563318777,69,100.0,100.0,1782.7467248908297,0.943906782380361
precursor_mass_consistency_score,200,229,0.7379912663755459,60,199.5764192139738,200.0,1782.7467248908297,0.8880511648528226
precursor_mass_consistency_score,500,229,0.8951965065502183,24,491.0087336244541,500.0,1782.7467248908297,0.7245774025166014
precursor_mass_consistency_score,1000,229,0.9475982532751092,12,945.0218340611353,1000.0,1782.7467248908297,0.46990684606698363
sirius_formula_plausibility_score_nan0,10,229,0.7379912663755459,60,10.0,10.0,1782.7467248908297,0.9943906782380361
sirius_formula_plausibility_score_nan0,25,229,0.7554585152838428,56,25.0,25.0,1782.7467248908297,0.9859766955950903
sirius_formula_plausibility_score_nan0,50,229,0.7641921397379913,54,50.0,50.0,1782.7467248908297,0.9719533911901805
sirius_formula_plausibility_score_nan0,100,229,0.777292576419214,51,100.0,100.0,1782.7467248908297,0.943906782380361
sirius_formula_plausibility_score_nan0,200,229,0.7903930131004366,48,199.5764192139738,200.0,1782.7467248908297,0.8880511648528226
sirius_formula_plausibility_score_nan0,500,229,0.8820960698689956,27,491.0087336244541,500.0,1782.7467248908297,0.7245774025166014
sirius_formula_plausibility_score_nan0,1000,229,0.9432314410480349,13,945.0218340611353,1000.0,1782.7467248908297,0.46990684606698363
