query_id,true_candidate_id,candidate_id,retained,original_candidate_count,gated_candidate_count,union_gate,per_policy_top_k
0,CASMI_MOL_1196787,,False,1241,20,union_fragannotor_sirius,10
1,CASMI_MOL_1196788,CASMI_MOL_1196788,True,2001,10,union_fragannotor_sirius,10
2,CASMI_MOL_1196789,CASMI_MOL_1196789,True,2001,10,union_fragannotor_sirius,10
3,CASMI_MOL_1196790,,False,2001,10,union_fragannotor_sirius,10
4,CASMI_MOL_1196791,,False,2001,10,union_fragannotor_sirius,10
5,CASMI_MOL_1196792,CASMI_MOL_1196792,True,1074,20,union_fragannotor_sirius,10
6,CASMI_MOL_1196793,CASMI_MOL_1196793,True,1524,10,union_fragannotor_sirius,10
7,CASMI_MOL_1196794,CASMI_MOL_1196794,True,2001,10,union_fragannotor_sirius,10
8,CASMI_MOL_1196795,CASMI_MOL_1196795,True,1910,10,union_fragannotor_sirius,10
9,CASMI_MOL_1196796,CASMI_MOL_1196796,True,2001,10,union_fragannotor_sirius,10
10,CASMI_MOL_1196797,CASMI_MOL_1196797,True,2001,14,union_fragannotor_sirius,10
11,CASMI_MOL_1196798,,False,2001,10,union_fragannotor_sirius,10
12,CASMI_MOL_1196799,CASMI_MOL_1196799,True,2001,10,union_fragannotor_sirius,10
13,CASMI_MOL_1196800,CASMI_MOL_1196800,True,548,10,union_fragannotor_sirius,10
14,CASMI_MOL_1196801,CASMI_MOL_1196801,True,2001,10,union_fragannotor_sirius,10
15,CASMI_MOL_1196802,,False,2001,10,union_fragannotor_sirius,10
16,CASMI_MOL_1196803,CASMI_MOL_1196803,True,103,10,union_fragannotor_sirius,10
17,CASMI_MOL_1196804,CASMI_MOL_1196804,True,2001,10,union_fragannotor_sirius,10
18,CASMI_MOL_1196806,CASMI_MOL_1196806,True,2001,10,union_fragannotor_sirius,10
19,CASMI_MOL_1196807,CASMI_MOL_1196807,True,2001,10,union_fragannotor_sirius,10
20,CASMI_MOL_1196808,CASMI_MOL_1196808,True,405,20,union_fragannotor_sirius,10
21,CASMI_MOL_1196809,,False,2001,10,union_fragannotor_sirius,10
22,CASMI_MOL_1196810,,False,2001,10,union_fragannotor_sirius,10
23,CASMI_MOL_1196811,,False,2001,10,union_fragannotor_sirius,10
24,CASMI_MOL_1196813,,False,2001,10,union_fragannotor_sirius,10
25,CASMI_MOL_1196814,CASMI_MOL_1196814,True,2001,10,union_fragannotor_sirius,10
26,CASMI_MOL_1196815,CASMI_MOL_1196815,True,2001,10,union_fragannotor_sirius,10
27,CASMI_MOL_1196816,CASMI_MOL_1196816,True,2001,10,union_fragannotor_sirius,10
28,CASMI_MOL_1196817,CASMI_MOL_1196817,True,2001,10,union_fragannotor_sirius,10
29,CASMI_MOL_1196818,CASMI_MOL_1196818,True,2001,10,union_fragannotor_sirius,10
30,CASMI_MOL_1196819,CASMI_MOL_1196819,True,2001,10,union_fragannotor_sirius,10
31,CASMI_MOL_1196820,CASMI_MOL_1196820,True,2001,10,union_fragannotor_sirius,10
32,CASMI_MOL_1196821,CASMI_MOL_1196821,True,2001,10,union_fragannotor_sirius,10
33,CASMI_MOL_1196822,,False,2001,10,union_fragannotor_sirius,10
34,CASMI_MOL_1196823,CASMI_MOL_1196823,True,457,10,union_fragannotor_sirius,10
35,CASMI_MOL_1196824,CASMI_MOL_1196824,True,233,19,union_fragannotor_sirius,10
36,CASMI_MOL_1196825,,False,2001,10,union_fragannotor_sirius,10
37,CASMI_MOL_1196826,CASMI_MOL_1196826,True,2001,10,union_fragannotor_sirius,10
38,CASMI_MOL_1196827,CASMI_MOL_1196827,True,2001,10,union_fragannotor_sirius,10
39,CASMI_MOL_1196829,CASMI_MOL_1196829,True,859,10,union_fragannotor_sirius,10
40,CASMI_MOL_1196830,,False,2001,12,union_fragannotor_sirius,10
41,CASMI_MOL_1196831,,False,2001,10,union_fragannotor_sirius,10
42,CASMI_MOL_1196832,CASMI_MOL_1196832,True,2001,10,union_fragannotor_sirius,10
43,CASMI_MOL_1196833,CASMI_MOL_1196833,True,2001,10,union_fragannotor_sirius,10
44,CASMI_MOL_1196835,CASMI_MOL_1196835,True,1509,20,union_fragannotor_sirius,10
45,CASMI_MOL_1196836,CASMI_MOL_1196836,True,2001,10,union_fragannotor_sirius,10
46,CASMI_MOL_1196837,CASMI_MOL_1196837,True,960,10,union_fragannotor_sirius,10
47,CASMI_MOL_1196838,,False,1798,10,union_fragannotor_sirius,10
48,CASMI_MOL_1196839,CASMI_MOL_1196839,True,2001,10,union_fragannotor_sirius,10
49,CASMI_MOL_1196840,CASMI_MOL_1196840,True,729,10,union_fragannotor_sirius,10
50,CASMI_MOL_1196841,,False,1506,10,union_fragannotor_sirius,10
51,CASMI_MOL_1196842,CASMI_MOL_1196842,True,558,20,union_fragannotor_sirius,10
52,CASMI_MOL_1196843,CASMI_MOL_1196843,True,2001,10,union_fragannotor_sirius,10
53,CASMI_MOL_1196844,CASMI_MOL_1196844,True,1206,10,union_fragannotor_sirius,10
54,CASMI_MOL_1196845,CASMI_MOL_1196845,True,2001,10,union_fragannotor_sirius,10
55,CASMI_MOL_1196846,CASMI_MOL_1196846,True,2001,10,union_fragannotor_sirius,10
56,CASMI_MOL_1196828,CASMI_MOL_1196828,True,2001,10,union_fragannotor_sirius,10
57,CASMI_MOL_1196848,CASMI_MOL_1196848,True,2001,10,union_fragannotor_sirius,10
58,CASMI_MOL_1196849,CASMI_MOL_1196849,True,2001,10,union_fragannotor_sirius,10
59,CASMI_MOL_1196850,CASMI_MOL_1196850,True,2001,10,union_fragannotor_sirius,10
60,CASMI_MOL_1196851,CASMI_MOL_1196851,True,2001,10,union_fragannotor_sirius,10
61,CASMI_MOL_1196853,CASMI_MOL_1196853,True,2001,10,union_fragannotor_sirius,10
62,CASMI_MOL_1196854,CASMI_MOL_1196854,True,2001,10,union_fragannotor_sirius,10
63,CASMI_MOL_1196855,CASMI_MOL_1196855,True,2001,10,union_fragannotor_sirius,10
64,CASMI_MOL_1196856,CASMI_MOL_1196856,True,817,10,union_fragannotor_sirius,10
65,CASMI_MOL_1196857,CASMI_MOL_1196857,True,2001,10,union_fragannotor_sirius,10
66,CASMI_MOL_1196858,CASMI_MOL_1196858,True,2001,10,union_fragannotor_sirius,10
67,CASMI_MOL_1196859,CASMI_MOL_1196859,True,2001,10,union_fragannotor_sirius,10
68,CASMI_MOL_1196860,CASMI_MOL_1196860,True,1511,10,union_fragannotor_sirius,10
69,CASMI_MOL_1196861,CASMI_MOL_1196861,True,2001,10,union_fragannotor_sirius,10
70,CASMI_MOL_1196862,CASMI_MOL_1196862,True,2001,10,union_fragannotor_sirius,10
71,CASMI_MOL_1196863,CASMI_MOL_1196863,True,2001,10,union_fragannotor_sirius,10
