decoy_set,primary_decoy_set,threshold,n_queries,n_decoy_query_candidate_pairs,true_candidate_hits,decoy_hits,queries_with_decoy_hit,true_candidate_recall,decoy_candidate_fpr,decoy_query_fpr,candidate_precision_proxy,query_precision_proxy,weight_search_run,locked_test_used_for_weight_tuning
mass_window_50da_primary,True,0.0,64,2919,64,2919,64,1.0,1.0,1.0,0.021454911163258466,0.5,False,False
mass_window_50da_primary,True,0.05,64,2919,62,1809,64,0.96875,0.6197327852004111,1.0,0.03313735970069481,0.49206349206349204,False,False
mass_window_50da_primary,True,0.067653,64,2919,62,1616,64,0.96875,0.5536142514559781,1.0,0.03694874851013111,0.49206349206349204,False,False
mass_window_50da_primary,True,0.1,64,2919,61,1285,64,0.953125,0.44021925316889343,1.0,0.045319465081723624,0.488,False,False
mass_window_50da_primary,True,0.143177,64,2919,57,814,61,0.890625,0.2788626241863652,0.953125,0.06544202066590127,0.4830508474576271,False,False
mass_window_50da_primary,True,0.149591,64,2919,55,651,59,0.859375,0.22302158273381295,0.921875,0.07790368271954674,0.4824561403508772,False,False
mass_window_50da_primary,True,0.15,64,2919,55,640,59,0.859375,0.21925316889345667,0.921875,0.07913669064748201,0.4824561403508772,False,False
mass_window_50da_primary,True,0.15492,64,2919,55,455,56,0.859375,0.15587529976019185,0.875,0.10784313725490197,0.4954954954954955,False,False
mass_window_50da_primary,True,0.164201,64,2919,53,303,55,0.828125,0.10380267214799589,0.859375,0.14887640449438203,0.49074074074074076,False,False
mass_window_50da_primary,True,0.19522,64,2919,47,145,42,0.734375,0.049674546077423776,0.65625,0.24479166666666666,0.5280898876404494,False,False
mass_window_50da_primary,True,0.2,64,2919,46,133,41,0.71875,0.045563549160671464,0.640625,0.2569832402234637,0.5287356321839081,False,False
mass_window_50da_primary,True,0.25,64,2919,41,81,28,0.640625,0.02774922918807811,0.4375,0.3360655737704918,0.5942028985507246,False,False
mass_window_50da_primary,True,0.256061,64,2919,40,74,28,0.625,0.025351147653305928,0.4375,0.3508771929824561,0.5882352941176471,False,False
mass_window_50da_primary,True,0.3,64,2919,34,42,20,0.53125,0.014388489208633094,0.3125,0.4473684210526316,0.6296296296296297,False,False
mass_window_50da_primary,True,0.326625,64,2919,32,31,15,0.5,0.010620075368276806,0.234375,0.5079365079365079,0.6808510638297872,False,False
mass_window_50da_primary,True,0.347952,64,2919,30,26,13,0.46875,0.008907159986296678,0.203125,0.5357142857142857,0.6976744186046512,False,False
mass_window_50da_primary,True,0.35,64,2919,30,25,13,0.46875,0.00856457690990065,0.203125,0.5454545454545454,0.6976744186046512,False,False
mass_window_50da_primary,True,0.4,64,2919,30,16,9,0.46875,0.005481329222336417,0.140625,0.6521739130434783,0.7692307692307693,False,False
mass_window_50da_primary,True,0.45,64,2919,27,13,7,0.421875,0.004453579993148339,0.109375,0.675,0.7941176470588235,False,False
mass_window_50da_primary,True,0.5,64,2919,22,12,6,0.34375,0.0041109969167523125,0.09375,0.6470588235294118,0.7857142857142857,False,False
mass_window_50da_primary,True,0.55,64,2919,18,10,4,0.28125,0.0034258307639602604,0.0625,0.6428571428571429,0.8181818181818182,False,False
mass_window_50da_primary,True,0.574659,64,2919,16,10,4,0.25,0.0034258307639602604,0.0625,0.6153846153846154,0.8,False,False
mass_window_50da_primary,True,0.6,64,2919,13,10,4,0.203125,0.0034258307639602604,0.0625,0.5652173913043478,0.7647058823529411,False,False
mass_window_50da_primary,True,0.60116,64,2919,13,10,4,0.203125,0.0034258307639602604,0.0625,0.5652173913043478,0.7647058823529411,False,False
mass_window_50da_primary,True,0.636241,64,2919,10,7,3,0.15625,0.002398081534772182,0.046875,0.5882352941176471,0.7692307692307693,False,False
mass_window_50da_primary,True,0.649717,64,2919,7,4,1,0.109375,0.0013703323055841042,0.015625,0.6363636363636364,0.875,False,False
mass_window_50da_primary,True,0.65,64,2919,6,4,1,0.09375,0.0013703323055841042,0.015625,0.6,0.8571428571428571,False,False
mass_window_50da_primary,True,0.672352,64,2919,4,3,1,0.0625,0.0010277492291880781,0.015625,0.5714285714285714,0.8,False,False
mass_window_50da_primary,True,0.7,64,2919,2,1,1,0.03125,0.00034258307639602604,0.015625,0.6666666666666666,0.6666666666666666,False,False
mass_window_50da_primary,True,0.734712,64,2919,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
mass_window_50da_primary,True,0.75,64,2919,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
mass_window_50da_primary,True,0.8,64,2919,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
mass_window_50da_primary,True,0.805399,64,2919,1,0,0,0.015625,0.0,0.0,1.0,1.0,False,False
mass_window_50da_primary,True,0.85,64,2919,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_50da_primary,True,0.9,64,2919,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_50da_primary,True,0.95,64,2919,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_50da_primary,True,1.0,64,2919,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_20da_strict,False,0.0,64,1182,64,1182,62,1.0,1.0,1.0,0.051364365971107544,0.5079365079365079,False,False
