stratum,level,top1_accuracy,top5_accuracy,top10_accuracy,mean_reciprocal_rank,median_true_rank,mean_top1_tanimoto,median_top1_tanimoto,molecular_formula_accuracy,n_queries,mean_candidate_count
candidate_set_size,small,0.6506550218340611,0.6593886462882096,0.6724890829694323,0.6585487281556323,1.0,0.6940283564485756,1.0,0.7991266375545851,229,1782.7467248908297
precursor_mass,high,0.5964912280701754,0.6140350877192983,0.6140350877192983,0.6066206192493372,1.0,0.6416157961467357,1.0,0.7719298245614035,57,1978.7894736842106
precursor_mass,low,0.7758620689655172,0.7758620689655172,0.7758620689655172,0.7761700793383143,1.0,0.8013309367969236,1.0,0.9827586206896551,58,1878.8620689655172
precursor_mass,mid,0.7192982456140351,0.7192982456140351,0.7192982456140351,0.720104183191286,1.0,0.7548166169065867,1.0,0.8947368421052632,57,1999.5263157894738
precursor_mass,very_high,0.5087719298245614,0.5263157894736842,0.5789473684210527,0.5292364983667024,1.0,0.5743682748573985,1.0,0.543859649122807,57,1272.122807017544
adduct,[M+H]+,0.6352941176470588,0.6411764705882353,0.6529411764705882,0.6410543709380316,1.0,0.6788091838489666,1.0,0.8117647058823529,170,1811.6352941176472
adduct,[M+Na]+,0.6949152542372882,0.711864406779661,0.7288135593220338,0.7089561981046512,1.0,0.7386362761370847,1.0,0.7627118644067796,59,1699.5084745762713
formula_correct_vs_incorrect,top1_formula_correct,0.8142076502732241,0.8142076502732241,0.8142076502732241,0.8147145003279742,1.0,0.8389343270569675,1.0,1.0,183,1877.24043715847
formula_correct_vs_incorrect,top1_formula_incorrect,0.0,0.043478260869565216,0.10869565217391304,0.0372805475569679,106.5,0.1047440759744486,0.1012658227848101,0.0,46,1406.8260869565217
spectrum_peak_count,few,0.7049180327868853,0.7049180327868853,0.7213114754098361,0.7134981089247493,1.0,0.739508817946799,1.0,0.7377049180327869,61,1655.344262295082
spectrum_peak_count,many,0.6491228070175439,0.6666666666666666,0.7017543859649122,0.6603116171574411,1.0,0.6975496955252133,1.0,0.8596491228070176,57,1870.2631578947369
spectrum_peak_count,moderate,0.6851851851851852,0.7037037037037037,0.7037037037037037,0.6931698731406762,1.0,0.7267560506315459,1.0,0.7962962962962963,54,1757.8333333333333
spectrum_peak_count,very_many,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5651813820291125,1.0,0.6114039306510773,1.0,0.8070175438596491,57,1855.1754385964912
candidate_structural_similarity_difficulty,low_similarity,0.0,0.017543859649122806,0.05263157894736842,0.022286057650833385,295.0,0.09528929267558545,0.0972222222222222,0.38596491228070173,57,1572.877192982456
candidate_structural_similarity_difficulty,mixed,0.8713450292397661,0.8771929824561403,0.8830409356725146,0.8744825819578178,1.0,0.8936080443729056,1.0,0.9415204678362573,171,1856.0994152046783
candidate_structural_similarity_difficulty,missing,0.0,0.0,0.0,0.0008319467554076,1202.0,,,0.0,1,1202.0
collision_energy,unavailable_in_current_casmi_processed_table,,,,,,,,,229,1782.7467248908297
