query_id,candidate_rows,unique_candidate_ids,true_candidate_rows,sirius_rows_with_score,candidate_count,candidate_count_matches_supported_audit
0,1241,1241,1,1241,1241,True
3,8524,8524,1,8524,8524,True
4,7594,7594,1,7594,7594,True
5,1074,1074,1,1074,1074,True
6,1524,1524,1,1524,1524,True
7,7016,7016,1,7016,7016,True
9,8632,8632,1,8632,8632,True
10,2797,2796,1,2797,2797,True
11,6368,6368,1,6368,6368,True
12,9462,9462,1,9462,9462,True
15,4775,4775,1,4775,4775,True
16,103,103,1,103,103,True
17,9564,9564,1,9564,9564,True
18,6548,6548,1,6548,6548,True
21,5615,5615,1,5615,5615,True
22,6294,6293,1,6294,6294,True
23,5745,5745,1,5745,5745,True
24,5015,5010,1,5015,5015,True
25,9778,9778,1,9778,9778,True
26,8521,8521,1,8521,8521,True
27,3327,3327,1,3327,3327,True
29,8062,8062,1,8062,8062,True
31,9668,9668,1,9668,9668,True
34,457,457,1,457,457,True
35,233,233,1,233,233,True
37,8957,8957,1,8957,8957,True
38,9532,9532,1,9532,9532,True
39,859,859,1,859,859,True
40,7695,7695,1,7695,7695,True
41,5158,5158,1,5158,5158,True
42,9484,9484,1,9484,9484,True
43,8937,8937,1,8937,8937,True
46,960,959,1,960,960,True
48,9066,9066,1,9066,9066,True
50,1506,1506,1,1506,1506,True
51,558,558,1,558,558,True
53,1206,1206,1,1206,1206,True
54,6814,6814,1,6814,6814,True
55,9288,9288,1,9288,9288,True
56,9532,9532,1,9532,9532,True
58,2999,2999,1,2999,2999,True
59,9219,9219,1,9219,9219,True
60,7090,7090,1,7090,7090,True
61,8027,8026,1,8027,8027,True
64,817,817,1,817,817,True
65,9590,9590,1,9590,9590,True
68,1511,1511,1,1511,1511,True
69,9556,9556,1,9556,9556,True
70,8926,8926,1,8926,8926,True
71,9485,9485,1,9485,9485,True
74,7251,7251,1,7251,7251,True
75,4498,4497,1,4498,4498,True
76,5745,5745,1,5745,5745,True
77,8719,8719,1,8719,8719,True
78,787,787,1,787,787,True
79,7821,7821,1,7821,7821,True
80,7809,7809,1,7809,7809,True
82,5788,5788,1,5788,5788,True
83,9564,9564,1,9564,9564,True
84,7090,7090,1,7090,7090,True
87,2560,2560,1,2560,2560,True
88,6054,6054,1,6054,6054,True
89,9564,9564,1,9564,9564,True
90,1959,1959,1,1959,1959,True
93,9460,9460,1,9460,9460,True
94,347,347,1,347,347,True
95,1877,1876,1,1877,1877,True
96,6683,6683,1,6683,6683,True
98,9270,9270,1,9270,9270,True
99,6863,6863,1,6863,6863,True
100,6530,6530,1,6530,6530,True
101,7839,7838,1,7839,7839,True
102,4859,4859,1,4859,4859,True
104,8559,8559,1,8559,8559,True
105,9237,9237,1,9237,9237,True
106,9491,9490,1,9491,9491,True
107,8301,8301,1,8301,8301,True
108,9739,9738,1,9739,9739,True
109,4864,4863,1,4864,4864,True
111,2744,2744,1,2744,2744,True
112,9092,9092,1,9092,9092,True
113,7164,7164,1,7164,7164,True
114,689,689,1,689,689,True
115,1876,1876,1,1876,1876,True
116,9725,9725,1,9725,9725,True
119,9424,9424,1,9424,9424,True
120,9633,9633,1,9633,9633,True
121,9371,9371,1,9371,9371,True
122,3108,3108,1,3108,3108,True
123,2103,2103,1,2103,2103,True
126,9036,9036,1,9036,9036,True
127,1657,1657,1,1657,1657,True
128,9700,9700,1,9700,9700,True
129,8301,8301,1,8301,8301,True
130,9113,9113,1,9113,9113,True
131,9650,9650,1,9650,9650,True
132,9018,9018,1,9018,9018,True
135,6577,6577,1,6577,6577,True
136,9626,9626,1,9626,9626,True
137,8774,8771,1,8774,8774,True
138,8939,8939,1,8939,8939,True
139,631,316,1,631,631,True
140,9134,9134,1,9134,9134,True
142,9236,9236,1,9236,9236,True
143,8691,8691,1,8691,8691,True
144,9540,9540,1,9540,9540,True
145,316,316,1,316,316,True
146,1277,1277,1,1277,1277,True
147,4034,4034,1,4034,4034,True
149,9235,9235,1,9235,9235,True
150,7703,7703,1,7703,7703,True
151,1793,1793,1,1793,1793,True
155,9273,9273,1,9273,9273,True
156,8995,8995,1,8995,8995,True
157,6956,6956,1,6956,6956,True
158,3729,3729,1,3729,3729,True
159,9633,9633,1,9633,9633,True
163,361,361,1,361,361,True
164,9014,9013,1,9014,9014,True
165,631,316,1,631,631,True
166,6879,6879,1,6879,6879,True
169,4670,4670,1,4670,4670,True
170,8301,8301,1,8301,8301,True
171,1728,1728,1,1728,1728,True
172,1959,1959,1,1959,1959,True
173,8918,8918,1,8918,8918,True
176,2390,2390,1,2390,2390,True
177,336,336,1,336,336,True
178,2608,2608,1,2608,2608,True
179,8960,8960,1,8960,8960,True
180,6387,6386,1,6387,6387,True
181,9633,9633,1,9633,9633,True
185,6320,6320,1,6320,6320,True
186,9661,9661,1,9661,9661,True
187,8418,8416,1,8418,8418,True
188,6643,6641,1,6643,6643,True
189,3839,3839,1,3839,3839,True
190,9134,9134,1,9134,9134,True
191,1876,1876,1,1876,1876,True
192,735,735,1,735,735,True
193,7937,7937,1,7937,7937,True
194,9378,9378,1,9378,9378,True
195,1274,1274,1,1274,1274,True
196,4522,4522,1,4522,4522,True
199,4447,4447,1,4447,4447,True
200,510,510,1,510,510,True
201,7033,7033,1,7033,7033,True
205,9363,9363,1,9363,9363,True
206,9113,9113,1,9113,9113,True
207,5971,5970,1,5971,5971,True
208,9633,9633,1,9633,9633,True
209,9092,9092,1,9092,9092,True
210,6490,6490,1,6490,6490,True
211,9668,9668,1,9668,9668,True
212,9580,9580,1,9580,9580,True
213,9069,9069,1,9069,9069,True
214,1846,1846,1,1846,1846,True
215,9453,9452,1,9453,9453,True
216,5420,5420,1,5420,5420,True
218,7363,7363,1,7363,7363,True
219,3155,3155,1,3155,3155,True
220,9633,9633,1,9633,9633,True
221,9150,9150,1,9150,9150,True
222,9240,9240,1,9240,9240,True
223,9012,9012,1,9012,9012,True
224,2730,2730,1,2730,2730,True
225,6158,6157,1,6158,6158,True
226,9691,9691,1,9691,9691,True
227,1329,1329,1,1329,1329,True
228,6956,6956,1,6956,6956,True
