dataset,model,status,native_or_fallback,query_id,candidate_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,top1_candidate_id,top1_score
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,0,1241,54.0,False,False,False,0.018518518518518517,CASMI_MOL_834,0.20044953870604265
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,3,8524,824.0,False,False,False,0.0012135922330097086,CASMI_MOL_10001,0.8946572529308799
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,4,7594,74.0,False,False,False,0.013513513513513514,CASMI_MOL_18426,0.8313444975372933
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,5,1074,345.0,False,False,False,0.002898550724637681,CASMI_MOL_25829,0.2007774771723832
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6,1524,1.0,True,True,True,1.0,CASMI_MOL_1196793,0.8488608477031989
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7,7016,1.0,True,True,True,1.0,CASMI_MOL_1196794,0.9068979913545419
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9,8632,1.0,True,True,True,1.0,CASMI_MOL_1196796,0.8485793212174022
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,10,2797,104.0,False,False,False,0.009615384615384616,CASMI_MOL_46175,0.8472790785046072
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,11,6368,1651.0,False,False,False,0.0006056935190793458,CASMI_MOL_48838,0.8473371472724266
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,12,9462,1.0,True,True,True,1.0,CASMI_MOL_1196799,0.8489427524678699
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,15,4775,885.0,False,False,False,0.0011299435028248588,CASMI_MOL_69672,0.8441079508875357
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,16,103,1.0,True,True,True,1.0,CASMI_MOL_1196803,0.8475129256433164
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,17,9564,1.0,True,True,True,1.0,CASMI_MOL_1196804,0.8582675638244271
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,18,6548,1.0,True,True,True,1.0,CASMI_MOL_1196806,0.8648257127386864
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,21,5615,153.0,False,False,False,0.006535947712418301,CASMI_MOL_100151,0.8448119429534076
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,22,6294,5055.0,False,False,False,0.00019782393669634025,CASMI_MOL_106186,0.8482728504744034
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,23,5745,5236.0,False,False,False,0.00019098548510313216,CASMI_MOL_112477,0.8583511224453036
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,24,5015,318.0,False,False,False,0.0031446540880503146,CASMI_MOL_118221,0.8489623299449882
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,25,9778,1.0,True,True,True,1.0,CASMI_MOL_1196814,0.8470824349569612
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,26,8521,1.0,True,True,True,1.0,CASMI_MOL_1196815,0.8436597686555092
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,27,3327,1.0,True,True,True,1.0,CASMI_MOL_1196816,0.8526569701566383
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,29,8062,1.0,True,True,True,1.0,CASMI_MOL_1196818,0.7851984142174298
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,31,9668,1.0,True,True,True,1.0,CASMI_MOL_1196820,0.8467093929598529
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,34,457,1.0,True,True,True,1.0,CASMI_MOL_1196823,0.8831271738473366
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,35,233,28.0,False,False,False,0.03571428571428571,CASMI_MOL_193094,0.2010709781003867
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,37,8957,1.0,True,True,True,1.0,CASMI_MOL_1196826,0.8481607006920825
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,38,9532,1.0,True,True,True,1.0,CASMI_MOL_1196827,0.8565683844855181
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,39,859,1.0,True,True,True,1.0,CASMI_MOL_1196829,0.8480503219468394
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,40,7695,2242.0,False,False,False,0.00044603033006244426,CASMI_MOL_219245,0.7941121728183607
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,41,5158,1114.0,False,False,False,0.0008976660682226212,CASMI_MOL_228815,0.8494808964573135
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,42,9484,1.0,True,True,True,1.0,CASMI_MOL_1196832,0.8538953703468595
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,43,8937,1.0,True,True,True,1.0,CASMI_MOL_1196833,0.8495775365619969
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,46,960,1.0,True,True,True,1.0,CASMI_MOL_1196837,0.8677295964984875
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,48,9066,1.0,True,True,True,1.0,CASMI_MOL_1196839,0.84836784197011
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,50,1506,981.0,False,False,False,0.0010193679918450561,CASMI_MOL_266798,0.8435540476075725
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,51,558,49.0,False,False,False,0.02040816326530612,CASMI_MOL_268419,0.20050758141417985
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,53,1206,1.0,True,True,True,1.0,CASMI_MOL_1196844,0.8566664352376845
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,54,6814,1.0,True,True,True,1.0,CASMI_MOL_1196845,0.893198271804753
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,55,9288,1.0,True,True,True,1.0,CASMI_MOL_1196846,0.8482113180156711
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,56,9532,1.0,True,True,True,1.0,CASMI_MOL_1196828,0.8523986317587714
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,58,2999,1.0,True,True,True,1.0,CASMI_MOL_1196849,0.8967468973315127
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,59,9219,1.0,True,True,True,1.0,CASMI_MOL_1196850,0.848137222877307
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,60,7090,1.0,True,True,True,1.0,CASMI_MOL_1196851,0.847618867061982
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,61,8027,1.0,True,True,True,1.0,CASMI_MOL_1196853,0.8524015789218881
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,64,817,1.0,True,True,True,1.0,CASMI_MOL_1196856,0.8469656852238016
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,65,9590,1.0,True,True,True,1.0,CASMI_MOL_1196857,0.6932993682909163
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,68,1511,1.0,True,True,True,1.0,CASMI_MOL_1196860,0.9014748632899275
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,69,9556,1.0,True,True,True,1.0,CASMI_MOL_1196861,0.8472971220603221
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,70,8926,1.0,True,True,True,1.0,CASMI_MOL_1196862,0.8489191082603312
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,71,9485,1.0,True,True,True,1.0,CASMI_MOL_1196863,0.8737434726341253
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,74,7251,1.0,True,True,True,1.0,CASMI_MOL_1196866,0.8494021458096402
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,75,4498,1.0,True,True,True,1.0,CASMI_MOL_1196867,0.8483948565140598
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,76,5745,5236.0,False,False,False,0.00019098548510313216,CASMI_MOL_112477,0.8471664340314441
CASMI2022,FragAnnotator,completed,formal_fixed_component_score_mode_full_supported_candidate_set,77,8719,1.0,True,True,True,1.0,CASMI_MOL_1196868,0.8473949416686029
