supported_index,query_id,query_id_s,fragannotator_true_rank,fragannotator_top1_correct,fragannotator_top10_correct,fragannotator_reciprocal_rank,sirius_formula_only_true_rank,sirius_formula_only_top1_correct,sirius_formula_only_top10_correct,sirius_formula_only_reciprocal_rank,cfmid_native_true_rank,cfmid_native_top1_correct,cfmid_native_top10_correct,cfmid_native_reciprocal_rank,cfmid_ms2deepscore_hybrid_true_rank,cfmid_ms2deepscore_hybrid_top1_correct,cfmid_ms2deepscore_hybrid_top10_correct,cfmid_ms2deepscore_hybrid_reciprocal_rank,iceberg_true_rank,iceberg_top1_correct,iceberg_top10_correct,iceberg_reciprocal_rank,massformer_true_rank,massformer_top1_correct,massformer_top10_correct,massformer_reciprocal_rank
0,0,0,54.0,False,False,0.0185185185185185,222.0,False,False,0.0045045045045045,1.0,True,True,1.0,16.0,False,False,0.0625,12.0,False,False,0.0833333333333333,139.0,False,False,0.0071942446043165
1,3,3,824.0,False,False,0.0012135922330097,824.0,False,False,0.0012135922330097,2.0,False,True,0.5,3.0,False,True,0.3333333333333333,4.0,False,True,0.25,949.0,False,False,0.0010537407797681
2,4,4,74.0,False,False,0.0135135135135135,74.0,False,False,0.0135135135135135,13.0,False,False,0.0769230769230769,45.0,False,False,0.0222222222222222,621.0,False,False,0.001610305958132,2495.0,False,False,0.0004008016032064
3,5,5,345.0,False,False,0.0028985507246376,1.0,True,True,1.0,5.0,False,True,0.2,67.0,False,False,0.0149253731343283,26.0,False,False,0.0384615384615384,609.0,False,False,0.0016420361247947
4,6,6,1.0,True,True,1.0,1.0,True,True,1.0,782.0,False,False,0.0012787723785166,602.0,False,False,0.0016611295681063,538.0,False,False,0.0018587360594795,141.0,False,False,0.0070921985815602
5,7,7,1.0,True,True,1.0,1.0,True,True,1.0,110.0,False,False,0.009090909090909,1972.0,False,False,0.0005070993914807,28.0,False,False,0.0357142857142857,370.0,False,False,0.0027027027027027
6,9,9,1.0,True,True,1.0,1.0,True,True,1.0,98.0,False,False,0.010204081632653,554.0,False,False,0.0018050541516245,131.0,False,False,0.0076335877862595,3582.0,False,False,0.0002791736460078
7,10,10,104.0,False,False,0.0096153846153846,8.0,False,True,0.125,2016.0,False,False,0.0004960317460317,2303.0,False,False,0.0004342162396873,147.0,False,False,0.0068027210884353,1439.0,False,False,0.0006949270326615
8,11,11,1651.0,False,False,0.0006056935190793,1651.0,False,False,0.0006056935190793,7.0,False,True,0.1428571428571428,4.0,False,True,0.25,24.0,False,False,0.0416666666666666,1771.0,False,False,0.0005646527385657
9,12,12,1.0,True,True,1.0,1.0,True,True,1.0,267.0,False,False,0.0037453183520599,6277.0,False,False,0.00015931177314,42.0,False,False,0.0238095238095238,9091.0,False,False,0.0001099989000109
10,15,15,885.0,False,False,0.0011299435028248,885.0,False,False,0.0011299435028248,90.0,False,False,0.0111111111111111,141.0,False,False,0.0070921985815602,5.0,False,True,0.2,3737.0,False,False,0.0002675943270002
11,16,16,1.0,True,True,1.0,1.0,True,True,1.0,5.0,False,True,0.2,5.0,False,True,0.2,69.0,False,False,0.0144927536231884,23.0,False,False,0.0434782608695652
12,17,17,1.0,True,True,1.0,1.0,True,True,1.0,312.0,False,False,0.0032051282051282,4330.0,False,False,0.000230946882217,2455.0,False,False,0.00040733197556,1855.0,False,False,0.0005390835579514
13,18,18,1.0,True,True,1.0,1.0,True,True,1.0,1612.0,False,False,0.0006203473945409,723.0,False,False,0.0013831258644536,1534.0,False,False,0.0006518904823989,1284.0,False,False,0.0007788161993769
14,21,21,153.0,False,False,0.0065359477124183,153.0,False,False,0.0065359477124183,169.0,False,False,0.0059171597633136,70.0,False,False,0.0142857142857142,4.0,False,True,0.25,55.0,False,False,0.0181818181818181
15,22,22,5055.0,False,False,0.0001978239366963,5055.0,False,False,0.0001978239366963,2372.0,False,False,0.0004215851602023,163.0,False,False,0.0061349693251533,186.0,False,False,0.0053763440860215,5111.0,False,False,0.0001956564273136
