supported_index,query_id,query_mol_id,adduct,precursor_mz,candidate_count,status,completed,matched_manifest_version,in_fragannotator,in_cfmid,in_cfmid_ms2deepscore_hybrid,in_sirius_formula_only
0,0,1196787,[M+H]+,719.253866983956,1241,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
1,3,1196790,[M+H]+,336.173416402974,8524,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
2,4,1196791,[M+H]+,472.208379934413,7594,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
3,5,1196792,[M+H]+,657.311672306106,1074,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
4,6,1196793,[M+H]+,519.33115928565,1524,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
5,7,1196794,[M+H]+,233.116974574285,7016,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
6,9,1196796,[M+H]+,347.12743382156,8632,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
7,10,1196797,[M+H]+,454.07482453927,2797,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
8,11,1196798,[M+H]+,489.226761835099,6368,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
9,12,1196799,[M+H]+,192.138122780028,9462,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
10,15,1196802,[M+H]+,505.221679905913,4775,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
11,16,1196803,[M+H]+,522.596526377514,103,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
12,17,1196804,[M+H]+,251.163916083717,9564,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
13,18,1196806,[M+H]+,199.096388145119,6548,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
14,21,1196809,[M+H]+,419.096457918953,5615,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
15,22,1196810,[M+H]+,235.09602715843,6294,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
16,23,1196811,[M+H]+,305.24715503306,5745,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
17,24,1196813,[M+H]+,251.081286729391,5015,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
18,25,1196814,[M+H]+,256.190347458289,9778,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
19,26,1196815,[M+H]+,287.113248407357,8521,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
20,27,1196816,[M+H]+,564.248474121094,3327,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
21,29,1196818,[M+H]+,442.152698645402,8062,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
22,31,1196820,[M+H]+,268.169176279556,9668,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
23,34,1196823,[M+H]+,88.075645446777,457,completed,True,manuscript_3_2_matched_170_v1,True,True,True,True
24,35,1196824,[M+H]+,812.47884213126,233,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
25,37,1196826,[M+H]+,335.220961257905,8957,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
26,38,1196827,[M+H]+,267.158658505007,9532,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
27,39,1196829,[M+H]+,110.059909596967,859,completed,True,manuscript_3_2_matched_170_v1,True,True,True,True
28,40,1196830,[M+H]+,457.20099752921,7695,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
29,41,1196831,[M+H]+,484.216078579256,5158,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
30,42,1196832,[M+H]+,395.232386610341,9484,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
31,43,1196833,[M+H]+,333.205381675245,8937,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
32,46,1196837,[M+H]+,145.075823480782,960,completed,True,manuscript_3_2_matched_170_v1,True,True,True,True
33,48,1196839,[M+H]+,429.226698960775,9066,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
34,50,1196841,[M+H]+,173.047241210938,1506,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
35,51,1196842,[M+H]+,739.243161879911,558,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
36,53,1196844,[M+H]+,98.096313476563,1206,completed,True,manuscript_3_2_matched_170_v1,True,True,True,True
37,54,1196845,[M+H]+,212.081565615679,6814,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
38,55,1196846,[M+H]+,349.200553291463,9288,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
39,56,1196828,[M+H]+,267.158989552775,9532,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
40,58,1196849,[M+H]+,127.075180638479,2999,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
41,59,1196850,[M+H]+,228.231926090935,9219,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
42,60,1196851,[M+H]+,319.226352058803,7090,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
43,61,1196853,[M+H]+,485.216505310484,8027,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
44,64,1196856,[M+H]+,705.237865088362,817,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
45,65,1196857,[M+H]+,249.148315429688,9590,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
46,68,1196860,[M+H]+,114.127519082222,1511,completed,True,manuscript_3_2_matched_170_v1,True,True,True,True
47,69,1196861,[M+H]+,282.169477178943,9556,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
48,70,1196862,[M+H]+,331.189924191026,8926,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
49,71,1196863,[M+H]+,169.12214356171,9485,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
50,74,1196866,[M+H]+,144.138018811886,7251,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
51,75,1196867,[M+H]+,287.048180621777,4498,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
52,76,1196812,[M+H]+,305.247069182952,5745,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
53,77,1196868,[M+H]+,399.237181334685,8719,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
54,78,1196869,[M+H]+,103.086471920208,787,completed,True,manuscript_3_2_matched_170_v1,True,True,True,True
55,79,1196870,[M+H]+,330.205834046795,7821,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
56,80,1196871,[M+H]+,303.122479714061,7809,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
57,82,1196873,[M+H]+,140.106780463631,5788,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
58,83,1196874,[M+H]+,229.143216539695,9564,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
59,84,1196852,[M+H]+,319.226464781691,7090,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
60,87,1196876,[M+H]+,148.075452106098,2560,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
61,88,1196877,[M+H]+,489.123474121094,6054,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
62,89,1196805,[M+H]+,251.163883088621,9564,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
63,90,1196878,[M+H]+,337.273519236211,1959,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
64,93,1196881,[M+H]+,278.117219218254,9460,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
65,94,1196882,[M+H]+,531.4400905022,347,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
66,95,1196883,[M+H]+,589.299949560662,1877,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
67,96,1196884,[M+H]+,421.2579102945,6683,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
68,98,1196886,[M+H]+,453.238635252155,9270,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
69,99,1196887,[M+H]+,455.1485326536,6863,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
70,100,1196888,[M+H]+,329.231892370686,6530,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
71,101,1196890,[M+H]+,265.106995360766,7839,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
72,102,1196891,[M+H]+,403.232045400965,4859,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
73,104,1196893,[M+H]+,249.078750610352,8559,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
74,105,1196894,[M+H]+,361.200375071837,9237,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
75,106,1196895,[M+H]+,297.107910928399,9491,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
76,107,1196896,[M+H]+,317.210886689853,8301,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
77,108,1196899,[M+H]+,211.143956950586,9739,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
78,109,1196900,[M+H]+,465.102494314505,4864,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
79,111,1196902,[M+H]+,173.091842651367,2744,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
80,112,1196903,[M+H]+,275.127474208511,9092,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
81,113,1196905,[M+H]+,384.237576499794,7164,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
82,114,1196906,[M+H]+,773.212341308594,689,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
83,115,1196907,[M+H]+,487.341135509272,1876,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
84,116,1196909,[M+H]+,227.117682198429,9725,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
85,119,1196912,[M+H]+,277.133189720886,9424,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
86,120,1196913,[M+H]+,235.16901312256,9633,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
87,121,1196918,[M+H]+,311.148594834163,9371,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
88,122,1196919,[M+H]+,516.258822820097,3108,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
89,123,1196920,[M+H]+,287.05477511929,2103,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
90,126,1196923,[M+H]+,293.164467938574,9036,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
91,127,1196924,[M+H]+,485.325432421438,1657,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
92,128,1196925,[M+H]+,266.102037994695,9700,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
93,129,1196897,[M+H]+,317.210865326987,8301,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
94,130,1196926,[M+H]+,273.111899404508,9113,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
95,131,1196928,[M+H]+,226.143449486821,9650,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
96,132,1196929,[M+H]+,343.190181065075,9018,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
97,135,1196933,[M+H]+,352.237811279235,6577,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
98,136,1196934,[M+H]+,273.205748250264,9626,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
99,137,1196935,[M+H]+,413.159051409611,8774,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
100,138,1196936,[M+H]+,387.179762289554,8939,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
101,139,1196937,[M+H]+,903.254552637546,631,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
102,140,1196939,[M+H]+,275.163851548862,9134,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
103,142,1196942,[M+H]+,371.148665955677,9236,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
104,143,1196943,[M+H]+,377.159048235277,8691,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
105,144,1196944,[M+H]+,281.138108031761,9540,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
106,145,1196938,[M+H]+,903.254591557378,316,completed,True,manuscript_3_2_matched_170_v1,True,True,True,True
107,146,1196945,[M+H]+,659.305358886719,1277,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
108,147,1196946,[M+H]+,417.247928865327,4034,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
109,149,1196948,[M+H]+,369.132758072946,9235,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
110,150,1196949,[M+H]+,379.245232516541,7703,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
111,151,1196950,[M+H]+,223.059992250151,1793,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
112,155,1196954,[M+H]+,383.178221106453,9273,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
113,156,1196955,[M+H]+,331.175020785177,8995,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
114,157,1196956,[M+H]+,243.101852416992,6956,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
115,158,1196958,[M+H]+,500.26370961297,3729,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
116,159,1196914,[M+H]+,235.169138407502,9633,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
117,163,1196962,[M+H]+,778.412071426478,361,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
118,164,1196963,[M+H]+,319.174937465293,9014,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
119,165,1196937,[M+H]+,903.254435229549,631,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
120,166,1196964,[M+H]+,197.117068765905,6879,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
121,169,1196967,[M+H]+,586.21728515625,4670,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
122,170,1196898,[M+H]+,317.210941458283,8301,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
123,171,1196968,[M+H]+,647.232372764582,1728,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
124,172,1196879,[M+H]+,337.273350277786,1959,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
125,173,1196969,[M+H]+,417.138772181597,8918,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
126,176,1196972,[M+H]+,611.196249141132,2390,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
127,177,1196973,[M+H]+,813.264282226563,336,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
128,178,1196974,[M+H]+,369.230865478516,2608,completed_cached,True,manuscript_3_2_matched_170_v1,True,True,True,True
