spectrum_id,returncode,status,error_message,log_path,project
0,0,no_formula_candidates,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_0.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_0
1,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_1.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_1
2,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_2.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_2
3,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_3.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_3
4,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_4.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_4
5,0,no_formula_candidates,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_5.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_5
6,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_6.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_6
7,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_7.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_7
8,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_8.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_8
9,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_9.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_9
10,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_10.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_10
11,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_11.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_11
12,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_12.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_12
13,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_13.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_13
14,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_14.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_14
15,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_15.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_15
16,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_16.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_16
17,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_17.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_17
18,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_18.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_18
19,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_19.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_19
20,0,no_formula_candidates,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_20.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_20
21,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_21.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_21
22,0,available,,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/logs/sirius_casmi_spec_22.log,/home/zhome/ec_structure/github_export/FragAnnotor/results/native_sirius_casmi/sirius_project_single/casmi_spec_22
