dataset,spectrum_id,query_id,true compound name if available,true SMILES,true InChIKey,true molecular formula,PFAS class/subclass if available,precursor m/z,ion mode,adduct,number of candidates,FragAnnotor true rank,FragAnnotor top-1 candidate SMILES,FragAnnotor top-1 candidate InChIKey,FragAnnotor top-1 score,FragAnnotor status,FragAnnotor native_or_fallback,CFM-ID true rank,CFM-ID top-1 candidate SMILES,CFM-ID top-1 candidate InChIKey,CFM-ID top-1 score,CFM-ID status,CFM-ID native_or_fallback,SIRIUS true rank,SIRIUS top-1 candidate SMILES,SIRIUS top-1 candidate InChIKey,SIRIUS top-1 score,SIRIUS status,SIRIUS native_or_fallback,MS2DeepScore true rank,MS2DeepScore top-1 candidate SMILES,MS2DeepScore top-1 candidate InChIKey,MS2DeepScore top-1 score,MS2DeepScore status,MS2DeepScore native_or_fallback,top-1 Tanimoto similarity,whether FragAnnotor beats CFM-ID,rank improvement over CFM-ID,whether FragAnnotor beats SIRIUS,rank improvement over SIRIUS,whether FragAnnotor beats MS2DeepScore,rank improvement over MS2DeepScore,failure category if applicable
PFAS,LS05bfa8260f03,LS05bfa8260f03,Picolinafen,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,CWKFPEBMTGKLKX-UHFFFAOYSA-N,C19H12F4N2O2,PFCA,375.0762,negative,[M-H]-,463,2.0,Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,NOOCSNJCXJYGPE-UHFFFAOYSA-N,0.26050044164453906,completed,precomputed_external_real_scores,2.0,Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,NOOCSNJCXJYGPE-UHFFFAOYSA-N,0.4383820093217268,completed,precomputed_external_cfmid4_scores,23.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,0.19718309859154928,False,0.0,True,21.0,False,,not_top1_but_top5
PFAS,LS08e056b319e1,LS08e056b319e1,Fluxapyroxad,Cn1cc(C(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)c(C(F)F)n1,SXSGXWCSHSVPGB-UHFFFAOYSA-N,C18H12F5N3O,PFCA,380.0828,negative,[M-H]-,463,1.0,Cn1cc(C(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)c(C(F)F)n1,SXSGXWCSHSVPGB-UHFFFAOYSA-N,0.2922567143963638,completed,precomputed_external_real_scores,1.0,Cn1cc(C(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)c(C(F)F)n1,SXSGXWCSHSVPGB-UHFFFAOYSA-N,0.3790744240240095,completed,precomputed_external_cfmid4_scores,142.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,141.0,False,,
PFAS,LS0b9af8c5fc95,LS0b9af8c5fc95,6:2 fluorotelomer sulfonic acid,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VIONGDJUYAYOPU-UHFFFAOYSA-N,C8H5F13O3S,fluorotelomer_or_ether_pfas,426.9679,negative,[M-H]-,463,1.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VIONGDJUYAYOPU-UHFFFAOYSA-N,0.6391751106947848,completed,precomputed_external_real_scores,1.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VIONGDJUYAYOPU-UHFFFAOYSA-N,0.9783502213895696,completed,precomputed_external_cfmid4_scores,155.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,154.0,False,,
PFAS,LS0bca22e1fa72,LS0bca22e1fa72,Flutolanil,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,PTCGDEVVHUXTMP-UHFFFAOYSA-N,C17H16F3NO2,PFCA,322.106,negative,[M-H]-,463,1.0,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,PTCGDEVVHUXTMP-UHFFFAOYSA-N,0.6221164567125119,completed,precomputed_external_real_scores,1.0,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,PTCGDEVVHUXTMP-UHFFFAOYSA-N,0.9495337367059172,completed,precomputed_external_cfmid4_scores,118.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,117.0,False,,
PFAS,LS12154a7f6df8,LS12154a7f6df8,62FTA,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LRWIIEJPCFNNCZ-UHFFFAOYSA-N,C8H3F13O2,PFCA,377.0,negative,[M-H]-,463,2.0,O=C(O)/C=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,BKOBFLVYTXYFQZ-OWOJBTEDSA-N,0.5195735951675362,completed,precomputed_external_real_scores,3.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PXUULQAPEKKVAH-UHFFFAOYSA-N,0.3052350353813075,completed,precomputed_external_cfmid4_scores,88.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,0.3870967741935484,True,1.0,True,86.0,False,,not_top1_but_top5
PFAS,LS12a249abbb32,LS12a249abbb32,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl dihydrogen phosphate",O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FZTRDYSPWWJCOF-UHFFFAOYSA-N,C8H6F13O4P,fluorotelomer_or_ether_pfas,442.9723,negative,[M-H]-,463,2.0,CCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,JRSUJBJSUYPODE-UHFFFAOYSA-N,0.819240632492179,completed,precomputed_external_real_scores,2.0,CCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,JRSUJBJSUYPODE-UHFFFAOYSA-N,0.7944714834950644,completed,precomputed_external_cfmid4_scores,37.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,0.46511627906976744,False,0.0,True,35.0,False,,not_top1_but_top5
PFAS,LS19ee77e400f8,LS19ee77e400f8,Fipronil,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,C12H4Cl2F6N4OS,PFSM,434.9314,negative,[M-H]-,463,2.0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,DMDGGSIALPNSEE-UHFFFAOYSA-N,0.8422263687201043,completed,precomputed_external_real_scores,3.0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,DMDGGSIALPNSEE-UHFFFAOYSA-N,0.9297628206643718,completed,precomputed_external_cfmid4_scores,187.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,0.14285714285714285,True,1.0,True,185.0,False,,not_top1_but_top5
PFAS,LS1bace597fc7d,LS1bace597fc7d,6-2-FTS,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VIONGDJUYAYOPU-UHFFFAOYSA-N,C8H5F13O3S,fluorotelomer_or_ether_pfas,426.9679,negative,[M-H]-,463,4.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ALVYVCQIFHTIRD-UHFFFAOYSA-N,0.653041895387027,completed,precomputed_external_real_scores,4.0,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N,0.7307748639686447,completed,precomputed_external_cfmid4_scores,155.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,151.0,False,,not_top1_but_top5
PFAS,LS1c8eb617821b,LS1c8eb617821b,62FTS,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VIONGDJUYAYOPU-UHFFFAOYSA-N,C8H5F13O3S,fluorotelomer_or_ether_pfas,426.96738,negative,[M-H]-,463,1.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VIONGDJUYAYOPU-UHFFFAOYSA-N,0.8018851970572478,completed,precomputed_external_real_scores,1.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VIONGDJUYAYOPU-UHFFFAOYSA-N,0.8816511410710315,completed,precomputed_external_cfmid4_scores,155.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,154.0,False,,
PFAS,LS1dfe7690591a,LS1dfe7690591a,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid",O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ALVYVCQIFHTIRD-UHFFFAOYSA-N,C10H5F17O3S,PFSM,526.9615,negative,[M-H]-,463,1.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ALVYVCQIFHTIRD-UHFFFAOYSA-N,0.485701378221509,completed,precomputed_external_real_scores,1.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ALVYVCQIFHTIRD-UHFFFAOYSA-N,0.6924093866612339,completed,precomputed_external_cfmid4_scores,7.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,6.0,False,,
PFAS,LS2869105bd098,LS2869105bd098,PharmaGSID_48510,O=C(O)c1cccc(N(Cc2cccnc2)c2ccc(OC(F)F)c(OC(F)F)c2)c1,GLUDVMFRXKAGHO-UHFFFAOYSA-N,C21H16F4N2O4,PFCA,435.097343,negative,[M-H]-,463,2.0,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,0.6060412954302538,completed,precomputed_external_real_scores,2.0,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,0.9462345774209724,completed,precomputed_external_cfmid4_scores,44.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,0.08139534883720931,False,0.0,True,42.0,False,,not_top1_but_top5
PFAS,LS2bf702df9866,LS2bf702df9866,Triflusal,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,RMWVZGDJPAKBDE-UHFFFAOYSA-N,C10H7F3O4,PFCA,247.0223,negative,[M-H]-,463,3.0,Oc1cccc(C(F)(F)F)c1,UGEJOEBBMPOJMT-UHFFFAOYSA-N,0.6039393357507291,completed,precomputed_external_real_scores,3.0,Oc1cccc(C(F)(F)F)c1,UGEJOEBBMPOJMT-UHFFFAOYSA-N,0.6386739248515708,completed,precomputed_external_cfmid4_scores,130.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,0.3076923076923077,False,0.0,True,127.0,False,,not_top1_but_top5
PFAS,LS368901bbcbc1,LS368901bbcbc1,PFUNS,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UKHUPOMCGUFNAP-UHFFFAOYSA-N,C11HF23O3S,PFSM,648.91937,negative,[M-H]-,463,1.0,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UKHUPOMCGUFNAP-UHFFFAOYSA-N,0.6850629000027292,completed,precomputed_external_real_scores,1.0,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UKHUPOMCGUFNAP-UHFFFAOYSA-N,0.9295121468354476,completed,precomputed_external_cfmid4_scores,151.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,150.0,False,,
PFAS,LS3a7539258142,LS3a7539258142,Fluxapyroxad,Cn1cc(C(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)c(C(F)F)n1,SXSGXWCSHSVPGB-UHFFFAOYSA-N,C18H12F5N3O,PFCA,380.0828,negative,[M-H]-,463,87.0,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,HWATZEJQIXKWQS-UHFFFAOYSA-N,0.22007176995451205,completed,precomputed_external_real_scores,158.0,CNC1=C(c2cccc(C(F)(F)F)c2)C(=O)C(c2ccccc2)O1,NYRMIJKDBAQCHC-UHFFFAOYSA-N,0.2196115134085674,completed,precomputed_external_cfmid4_scores,142.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,0.1625,True,71.0,True,55.0,False,,missed_top10
PFAS,LS3e75a585eabd,LS3e75a585eabd,Florasulam,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,QZXATCCPQKOEIH-UHFFFAOYSA-N,C12H8F3N5O3S,PFSM,358.0227,negative,[M-H]-,463,1.0,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,QZXATCCPQKOEIH-UHFFFAOYSA-N,0.42788550897177635,completed,precomputed_external_real_scores,1.0,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,QZXATCCPQKOEIH-UHFFFAOYSA-N,0.6127340033024008,completed,precomputed_external_cfmid4_scores,126.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,125.0,False,,
PFAS,LS401bd3bf2187,LS401bd3bf2187,3-Trifluoromethyl-4-nitrophenol,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,ZEFMBAFMCSYJOO-UHFFFAOYSA-N,C7H4F3NO3,fluorotelomer_or_ether_pfas,206.0071,negative,[M-H]-,463,2.0,Nc1nc2ccc(OC(F)(F)F)cc2s1,FTALBRSUTCGOEG-UHFFFAOYSA-N,0.18247956711297159,completed,precomputed_external_real_scores,185.0,O=C(Nc1ccc2c(c1)Cc1ccccc1-2)C(F)(F)F,XPHPBNGAXWJHHP-UHFFFAOYSA-N,0.2134688466904953,completed,precomputed_external_cfmid4_scores,183.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,0.13725490196078433,True,183.0,True,181.0,False,,not_top1_but_top5
PFAS,LS4120a295a20f,LS4120a295a20f,Florasulam,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,QZXATCCPQKOEIH-UHFFFAOYSA-N,C12H8F3N5O3S,PFSM,358.0227,negative,[M-H]-,463,1.0,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,QZXATCCPQKOEIH-UHFFFAOYSA-N,0.47107491041310867,completed,precomputed_external_real_scores,1.0,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,QZXATCCPQKOEIH-UHFFFAOYSA-N,0.6079618309788833,completed,precomputed_external_cfmid4_scores,126.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ABFCFCPCGMHSRX-UHFFFAOYSA-N,0.0,completed,precomputed_external_sirius_scores,,,,,model_unavailable_native_required,native_unavailable,1.0,False,0.0,True,125.0,False,,
