fluorine_count,n_queries,top1_accuracy,top5_accuracy,top10_accuracy,mrr
3,24,0.375,0.7083333333333334,0.7916666666666666,0.5446358618233619
4,7,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.399218915671167
5,2,0.5,0.5,0.5,0.5057471264367817
6,9,0.1111111111111111,0.5555555555555556,0.7777777777777778,0.30330346789831136
9,2,0.0,0.5,1.0,0.20833333333333331
12,1,0.0,0.0,0.0,0.08333333333333333
13,10,0.4,1.0,1.0,0.6333333333333333
15,3,0.0,0.3333333333333333,1.0,0.1638888888888889
16,1,1.0,1.0,1.0,1.0
17,4,0.75,1.0,1.0,0.8125
23,1,1.0,1.0,1.0,1.0
